Time [yyyy-MM-dd HH:mm:ss];903.00.IJ: Discharge at (IJssel03.A. 909). Flow1D [m³/s];922.00.IJ: Discharge at (IJssel03.B.B.A. 491.5215). Flow1D [m³/s];932.00.IJ: Discharge at (IJssel04.B. 2397.599). Flow1D [m³/s];940.00.IJ: Discharge at (IJssel05.B. 959.73). Flow1D [m³/s];947.00.IJ: Discharge at (IJssel06.B.B.B.A. 1302.778). Flow1D [m³/s]
16-01-00 06:00;2263.4;2241;2245;2184.7;2164.4
16-01-00 07:00;2267.2;2246.6;2252.8;2188.7;2169.4
16-01-00 08:00;2270.6;2251.7;2260.1;2192.4;2173.9
16-01-00 09:00;2273.6;2256.5;2266.9;2195.8;2178.1
16-01-00 10:00;2276.3;2260.8;2273.1;2198.8;2182
16-01-00 11:00;2278.7;2264.7;2278.9;2201.5;2185.5
16-01-00 12:00;2280.7;2268.3;2284.3;2204;2188.8
16-01-00 13:00;2282.5;2271.5;2289.1;2206.2;2191.7
16-01-00 14:00;2284;2274.4;2293.6;2208.1;2194.4
16-01-00 15:00;2285.3;2276.9;2297.6;2209.7;2196.8
16-01-00 16:00;2286.3;2279.2;2301.3;2211.3;2199.2
16-01-00 17:00;2287.2;2281.2;2304.7;2212.7;2201.4
16-01-00 18:00;2287.8;2282.9;2307.7;2214;2203.3
16-01-00 19:00;2288.3;2284.4;2310.4;2215.1;2205.1
16-01-00 20:00;2288.6;2285.7;2312.8;2216;2206.5
16-01-00 21:00;2288.7;2286.8;2314.9;2216.7;2207.8
16-01-00 22:00;2288.7;2287.6;2316.7;2217.3;2208.9
16-01-00 23:00;2288.6;2288.3;2318.2;2217.8;2209.8
17-01-00 00:00;2288.3;2288.8;2319.5;2218.1;2210.5
17-01-00 01:00;2287.9;2289.1;2320.6;2218.2;2211.1
17-01-00 02:00;2287.4;2289.3;2321.5;2218.3;2211.6
17-01-00 03:00;2286.8;2289.3;2322.2;2218.3;2212
17-01-00 04:00;2285.8;2289.1;2322.7;2218.2;2212.2
17-01-00 05:00;2284.5;2288.7;2323;2218;2212.4
17-01-00 06:00;2283;2288.1;2323.1;2217.6;2212.4
17-01-00 07:00;2281.1;2287.2;2322.9;2217.2;2212.3
17-01-00 08:00;2279;2286;2322.5;2216.6;2212.1
17-01-00 09:00;2276.6;2284.6;2321.9;2215.8;2211.7
17-01-00 10:00;2274.4;2282.9;2317.1;2218;2211.4
17-01-00 11:00;2271.5;2280.7;2316.5;2217.5;2212.5
17-01-00 12:00;2268.1;2278.4;2315.8;2216.9;2212.4
17-01-00 13:00;2264.4;2275.9;2314.5;2215.8;2212
17-01-00 14:00;2260.4;2273.1;2312.8;2214.4;2211.3
17-01-00 15:00;2256.2;2270;2310.8;2212.8;2210.3
17-01-00 16:00;2251.8;2265.7;2278;2238.5;2211.5
17-01-00 17:00;2247;2257.5;2273.4;2250.9;2228.7
17-01-00 18:00;2241.6;2251.8;2276.5;2256.5;2236.6
17-01-00 19:00;2235.6;2247.1;2276.1;2258.6;2242.1
17-01-00 20:00;2229;2242.5;2274.7;2258.9;2245.4
17-01-00 21:00;2221.9;2237.6;2272.9;2258.5;2247.3
17-01-00 22:00;2214.3;2232.3;2270.5;2257.4;2248.3
17-01-00 23:00;2206.5;2226.6;2267.5;2255.7;2248.6
18-01-00 00:00;2198.5;2220.5;2264;2253.3;2248.1
18-01-00 01:00;2190.4;2214.1;2259.9;2250.3;2246.9
18-01-00 02:00;2182.2;2207.4;2255.4;2246.8;2245.1
18-01-00 03:00;2173.8;2200.5;2250.5;2242.8;2242.7
18-01-00 04:00;2165.1;2193.2;2245.2;2238.4;2239.8
18-01-00 05:00;2156;2185.7;2239.5;2233.6;2236.4
18-01-00 06:00;2146.5;2177.8;2233.5;2228.4;2232.5
18-01-00 07:00;2136.6;2169.5;2227.1;2222.8;2228.1
18-01-00 08:00;2126.3;2160.9;2220.3;2216.8;2223.4
18-01-00 09:00;2115.8;2151.8;2213.2;2210.5;2218.2
18-01-00 10:00;2105.1;2142.5;2205.7;2203.7;2212.6
18-01-00 11:00;2094.4;2132.9;2197.8;2196.6;2206.5
18-01-00 12:00;2083.5;2123.1;2189.6;2189.2;2200.1
18-01-00 13:00;2072.6;2113.1;2181.2;2181.5;2193.4
18-01-00 14:00;2061.5;2102.9;2172.5;2173.6;2186.3
18-01-00 15:00;2050.3;2092.6;2163.7;2165.4;2178.9
18-01-00 16:00;2038.9;2082;2154.6;2157;2171.2
18-01-00 17:00;2027.4;2071.4;2145.3;2148.4;2163.3
18-01-00 18:00;2015.8;2060.7;2135.8;2139.5;2155.2
18-01-00 19:00;2004.3;2049.7;2126.2;2130.4;2146.9
18-01-00 20:00;1993;2038.8;2116.4;2121.1;2138.5
18-01-00 21:00;1981.7;2027.8;2106.5;2111.8;2129.9
18-01-00 22:00;1970.2;2016.7;2096.5;2102.4;2121.3
18-01-00 23:00;1958.7;2005.6;2086.5;2092.9;2112.6
19-01-00 00:00;1947.1;1994.5;2076.5;2083.4;2103.8
19-01-00 01:00;1935.5;1983.3;2066.4;2073.8;2095
19-01-00 02:00;1924;1972;2056.2;2064.2;2086
19-01-00 03:00;1912.5;1960.7;2046.1;2054.5;2076.9
19-01-00 04:00;1901;1949.4;2035.9;2044.8;2067.9
19-01-00 05:00;1889.5;1938.2;2025.7;2035.1;2058.7
19-01-00 06:00;1877.9;1926.9;2015.4;2025.3;2049.5
19-01-00 07:00;1866.1;1915.5;2005;2015.5;2040.2
19-01-00 08:00;1854.2;1904.3;1994.7;2005.7;2031
19-01-00 09:00;1842.2;1893;1984.4;1996.2;2021.8
19-01-00 10:00;1830;1881.4;1973.2;1987.4;2012.8
19-01-00 11:00;1817.8;1869.6;1962;1978.7;2004.3
19-01-00 12:00;1806.2;1857.6;1951.2;1969.6;1995.7
19-01-00 13:00;1795.4;1845.9;1940.8;1959.7;1986.8
19-01-00 14:00;1784.2;1834.4;1930.3;1949.6;1977.6
19-01-00 15:00;1772.6;1822.7;1919.8;1939.5;1968.2
19-01-00 16:00;1760.9;1811.1;1909;1928.6;1958
19-01-00 17:00;1749.2;1799.2;1897.8;1917.5;1947.7
19-01-00 18:00;1737.8;1787.3;1886.6;1906.4;1937.6
19-01-00 19:00;1726.7;1775.5;1875.3;1895.4;1927.5
19-01-00 20:00;1715.5;1763.7;1864;1884.3;1917.3
19-01-00 21:00;1704.1;1751.9;1852.7;1872.9;1906.8
19-01-00 22:00;1692.7;1740.1;1841;1861.1;1895.9
19-01-00 23:00;1681.3;1728.5;1829.4;1849.5;1885.1
20-01-00 00:00;1670;1716.9;1817.9;1838;1874.3
20-01-00 01:00;1658.8;1705.4;1806.2;1826.6;1863.5
20-01-00 02:00;1647.5;1694;1794.1;1814.6;1852.2
20-01-00 03:00;1636.3;1682.5;1781.2;1801;1839.9
20-01-00 04:00;1625.2;1670.9;1768.7;1788.4;1827.2
20-01-00 05:00;1614.1;1659.4;1757.1;1776.4;1814.7
20-01-00 06:00;1603.1;1648.1;1745.8;1765;1802.8
20-01-00 07:00;1592.3;1636.9;1734.5;1753.6;1791.2
20-01-00 08:00;1581.7;1625.7;1723.1;1742.1;1779.6
20-01-00 09:00;1571.2;1614.8;1711.9;1731;1768.4
20-01-00 10:00;1561;1604;1701.1;1720.1;1757.3
20-01-00 11:00;1551.1;1593.4;1690.4;1709.3;1746.3
20-01-00 12:00;1541.5;1583.1;1679.9;1698.7;1735.5
20-01-00 13:00;1532.5;1573.1;1669.6;1688.3;1724.8
20-01-00 14:00;1523.9;1563.4;1659.4;1678;1714.2
20-01-00 15:00;1515.6;1554.1;1649.5;1668;1703.7
20-01-00 16:00;1507.5;1545.1;1639.9;1658.1;1693.5
20-01-00 17:00;1499.6;1536.4;1630.5;1648.5;1683.4
20-01-00 18:00;1491.9;1528;1621.3;1639;1673.5
20-01-00 19:00;1484.4;1519.9;1612.3;1629.7;1663.7
20-01-00 20:00;1477.2;1512;1603.6;1620.7;1654.2
20-01-00 21:00;1470.2;1504.3;1595;1611.8;1644.8
20-01-00 22:00;1463.4;1497.2;1586.6;1603.1;1635.7
20-01-00 23:00;1456.8;1490.2;1578.5;1594.7;1626.7
21-01-00 00:00;1450.5;1483.4;1570.5;1586.4;1618
21-01-00 01:00;1444.4;1476.7;1562.6;1578.3;1609.4
21-01-00 02:00;1438.5;1470.2;1554.9;1570.3;1601
21-01-00 03:00;1432.9;1463.9;1547.4;1562.5;1592.8
21-01-00 04:00;1427.4;1457.8;1540.2;1555.1;1584.9
21-01-00 05:00;1422.1;1451.9;1533.2;1547.8;1577.3
21-01-00 06:00;1416.9;1446.1;1526.3;1540.7;1569.9
21-01-00 07:00;1411.8;1440.4;1519.6;1533.8;1562.7
21-01-00 08:00;1406.8;1435;1513;1527;1555.6
21-01-00 09:00;1402.1;1430;1506.5;1520.4;1548.7
21-01-00 10:00;1397.5;1425.1;1500.3;1513.9;1541.9
21-01-00 11:00;1392.9;1420.3;1494.4;1507.7;1535.4
21-01-00 12:00;1388.1;1415.5;1488.6;1501.7;1529.1
21-01-00 13:00;1383.3;1410.6;1482.9;1495.9;1523
21-01-00 14:00;1378.4;1405.8;1477.4;1490.2;1517.1
21-01-00 15:00;1373.5;1400.9;1471.9;1484.6;1511.3
21-01-00 16:00;1368.5;1396;1466.5;1479;1505.6
21-01-00 17:00;1363.4;1391;1461.1;1473.6;1500
21-01-00 18:00;1358.2;1386;1455.8;1468.2;1494.5
21-01-00 19:00;1353;1381;1450.5;1462.9;1489.1
21-01-00 20:00;1347.6;1375.8;1445.2;1457.6;1483.8
21-01-00 21:00;1342.1;1370.7;1439.9;1452.3;1478.6
21-01-00 22:00;1336.6;1365.4;1434.6;1447.1;1473.3
21-01-00 23:00;1330.9;1360.1;1429.3;1441.8;1468.1
22-01-00 00:00;1325.1;1354.6;1423.9;1436.5;1462.8
22-01-00 01:00;1319.1;1349.1;1418.7;1431.2;1457.4
22-01-00 02:00;1313.1;1343.5;1413.6;1426;1452.2
22-01-00 03:00;1306.9;1337.8;1408.3;1420.8;1446.9
22-01-00 04:00;1300.5;1332;1402.8;1415.4;1441.6
22-01-00 05:00;1294;1326.1;1397.2;1409.9;1436.2
22-01-00 06:00;1287.4;1320;1391.5;1404.3;1430.7
22-01-00 07:00;1280.6;1313.9;1385.6;1398.6;1425
22-01-00 08:00;1273.8;1307.6;1379.6;1392.7;1419.3
22-01-00 09:00;1266.8;1301.2;1373.5;1386.7;1413.4
22-01-00 10:00;1259.7;1294.7;1367.3;1380.6;1407.4
22-01-00 11:00;1252.6;1288.1;1360.9;1374.4;1401.3
22-01-00 12:00;1245.3;1281.4;1354.4;1368.1;1395.1
22-01-00 13:00;1238;1274.6;1347.9;1361.6;1388.8
22-01-00 14:00;1230.7;1267.8;1341.2;1355.1;1382.4
22-01-00 15:00;1223.3;1260.9;1334.5;1348.5;1376
22-01-00 16:00;1215.8;1254;1327.7;1341.9;1369.4
22-01-00 17:00;1208.3;1247;1320.9;1335.2;1362.9
22-01-00 18:00;1200.8;1240;1314;1328.4;1356.2
22-01-00 19:00;1193.4;1233;1306.7;1321.4;1349.5
22-01-00 20:00;1185.9;1225.9;1299.4;1314.3;1342.7
22-01-00 21:00;1178.4;1218.7;1292.1;1307.2;1335.8
22-01-00 22:00;1171;1211.6;1284.9;1300.1;1328.7
22-01-00 23:00;1163.6;1204.5;1277.7;1292.9;1321.7
23-01-00 00:00;1156.3;1197.4;1270.5;1285.8;1314.6
23-01-00 01:00;1149.1;1190.3;1263.3;1278.7;1307.4
23-01-00 02:00;1142;1183.3;1256.1;1271.5;1300.3
23-01-00 03:00;1134.9;1176.4;1248.9;1264.4;1293.2
23-01-00 04:00;1128.1;1169.5;1241.8;1257.2;1286
23-01-00 05:00;1121.4;1162.8;1234.6;1250.1;1278.9
23-01-00 06:00;1114.8;1156.1;1227.6;1243.1;1271.8
23-01-00 07:00;1108.4;1149.6;1220.6;1236.1;1264.7
23-01-00 08:00;1102.2;1143.2;1213.7;1229.1;1257.7
23-01-00 09:00;1096.1;1137;1206.8;1222.1;1250.7
23-01-00 10:00;1090.2;1130.9;1200.1;1215.3;1243.7
23-01-00 11:00;1084.4;1125;1193.5;1208.6;1236.8
23-01-00 12:00;1078.8;1119.1;1187.1;1202;1230.1
23-01-00 13:00;1073.4;1113.4;1180.8;1195.5;1223.4
23-01-00 14:00;1068.2;1107.9;1174.7;1189.2;1216.8
23-01-00 15:00;1063.1;1102.5;1168.7;1183;1210.3
23-01-00 16:00;1058.2;1097.3;1162.9;1176.9;1203.9
23-01-00 17:00;1052.1;1092.1;1157.2;1170.9;1197.7
23-01-00 18:00;1046.4;1087;1151.6;1165.1;1191.6
23-01-00 19:00;1041;1081.8;1146.1;1159.4;1185.6
23-01-00 20:00;1035.6;1076.7;1140.7;1153.8;1179.7
23-01-00 21:00;1030.2;1071.7;1135.3;1148.2;1173.9
23-01-00 22:00;1025.1;1066.8;1130;1142.8;1168.2
23-01-00 23:00;1020.4;1062.1;1124.8;1137.4;1162.6
24-01-00 00:00;1015.8;1057.5;1119.7;1132;1156.9
24-01-00 01:00;1011.3;1053;1114.7;1126.7;1151.4
24-01-00 02:00;1006.8;1048.7;1109.8;1121.7;1146.1
24-01-00 03:00;1002.6;1044.6;1105.1;1116.8;1140.9
24-01-00 04:00;998.37;1040.6;1100.6;1112.1;1135.9
24-01-00 05:00;994.28;1036.8;1096.2;1107.5;1131
24-01-00 06:00;990.3;1033.1;1091.9;1103;1126.3
24-01-00 07:00;986.41;1029.7;1087.8;1098.7;1121.7
24-01-00 08:00;982.56;1026.3;1083.8;1094.5;1117.2
24-01-00 09:00;978.68;1022.9;1080;1090.5;1112.9
24-01-00 10:00;974.78;1019.4;1076.2;1086.5;1108.7
24-01-00 11:00;970.85;1015.9;1072.4;1082.6;1104.7
24-01-00 12:00;966.91;1012.4;1068.7;1078.8;1100.6
24-01-00 13:00;962.94;1008.8;1065;1075;1096.6
24-01-00 14:00;958.94;1005.2;1061.4;1071.2;1092.7
24-01-00 15:00;954.89;1001.6;1057.7;1067.5;1088.9
24-01-00 16:00;950.37;997.81;1054.1;1063.8;1085
24-01-00 17:00;945.75;993.73;1050.4;1060.1;1081.2
24-01-00 18:00;941.21;989.58;1046.7;1056.3;1077.4
24-01-00 19:00;936.25;985.36;1042.8;1052.5;1073.5
24-01-00 20:00;931.45;981.07;1038.9;1048.6;1069.6
24-01-00 21:00;926.7;976.73;1034.9;1044.6;1065.6
24-01-00 22:00;921.93;972.34;1030.9;1040.6;1061.6
24-01-00 23:00;917.12;967.92;1026.8;1036.6;1057.6
25-01-00 00:00;912.25;963.46;1022.7;1032.5;1053.5
25-01-00 01:00;907.31;958.96;1018.5;1028.3;1049.4
25-01-00 02:00;902.29;954.41;1014.3;1024.1;1045.2
25-01-00 03:00;897.18;949.82;1010;1019.9;1041
25-01-00 04:00;891.95;945.17;1005.7;1015.6;1036.7
25-01-00 05:00;886.52;940.49;1001.4;1011.3;1032.5
25-01-00 06:00;880.92;935.79;997.05;1007;1028.2
25-01-00 07:00;875.07;931.06;992.66;1002.6;1023.9
25-01-00 08:00;869.18;926.27;988.24;998.23;1019.5
25-01-00 09:00;863.67;921.45;983.81;993.84;1015.1
25-01-00 10:00;859.33;916.66;979.36;989.42;1010.8
25-01-00 11:00;855.01;911.99;974.9;984.99;1006.3
25-01-00 12:00;850.66;907.42;970.45;980.55;1001.9
25-01-00 13:00;846.29;902.94;966.04;976.12;997.46
25-01-00 14:00;841.91;898.55;961.66;971.72;993.02
25-01-00 15:00;837.54;894.24;957.34;967.35;988.6
25-01-00 16:00;833.16;889.99;953.07;963.03;984.22
25-01-00 17:00;828.76;885.8;948.86;958.76;979.88
25-01-00 18:00;824.36;881.68;944.71;954.54;975.58
25-01-00 19:00;819.97;877.61;940.61;950.37;971.33
25-01-00 20:00;815.63;873.57;936.57;946.26;967.13
25-01-00 21:00;811.23;869.57;932.58;942.2;962.98
25-01-00 22:00;806.91;865.6;928.65;938.19;958.88
25-01-00 23:00;802.63;861.67;924.76;934.24;954.84
26-01-00 00:00;798.38;857.64;920.9;930.32;950.85
26-01-00 01:00;794.06;852.83;917.05;926.44;946.91
26-01-00 02:00;789.71;847.92;913.14;922.55;943.02
26-01-00 03:00;785.38;843.05;909.16;918.62;939.12
26-01-00 04:00;781.1;838.18;905.18;914.68;935.21
26-01-00 05:00;776.88;833.34;901.07;910.68;931.29
26-01-00 06:00;772.74;828.5;896.87;906.59;927.31
26-01-00 07:00;768.65;823.58;892.6;902.43;923.29
26-01-00 08:00;764.64;818.66;888.27;898.21;919.19
26-01-00 09:00;760.71;813.78;883.89;893.93;915.03
26-01-00 10:00;756.85;808.96;879.48;889.6;910.8
26-01-00 11:00;753.12;804.18;875.04;885.23;906.53
26-01-00 12:00;749.5;799.46;870.58;880.84;902.23
26-01-00 13:00;745.89;794.8;866.12;876.43;897.9
26-01-00 14:00;742.31;790.18;861.67;872.02;893.57
26-01-00 15:00;738.74;785.53;857.22;867.61;889.23
26-01-00 16:00;735.2;780.93;852.79;863.21;884.89
26-01-00 17:00;731.67;776.4;848.38;858.82;880.57
26-01-00 18:00;728.16;771.9;843.99;854.46;876.25
26-01-00 19:00;724.65;767.42;839.62;850.14;871.97
26-01-00 20:00;721.14;762.96;835.29;845.84;867.71
26-01-00 21:00;717.59;758.52;830.98;841.58;863.49
26-01-00 22:00;713.98;754.12;826.7;837.34;859.29
26-01-00 23:00;710.32;749.79;822.45;833.13;855.13
27-01-00 00:00;706.63;745.51;818.23;828.96;851
27-01-00 01:00;702.81;741.29;814.06;824.82;846.91
27-01-00 02:00;698.96;737.14;809.98;820.74;842.85
27-01-00 03:00;695.12;733.07;805.94;816.72;838.86
27-01-00 04:00;691.33;729.07;801.92;812.74;834.91
27-01-00 05:00;687.6;725.11;797.93;808.76;830.99
27-01-00 06:00;683.93;721.21;793.96;804.83;827.1
27-01-00 07:00;680.33;717.36;790.04;800.95;823.25
27-01-00 08:00;676.79;713.56;786.16;797.1;819.45
27-01-00 09:00;673.38;709.81;782.32;793.27;815.65
27-01-00 10:00;670.1;706.14;778.51;789.49;811.89
27-01-00 11:00;666.72;702.54;774.75;785.76;808.18
27-01-00 12:00;663.39;698.96;771.01;782.06;804.51
27-01-00 13:00;660.13;695.4;767.25;778.38;800.89
27-01-00 14:00;656.93;691.89;763.49;774.71;797.29
27-01-00 15:00;653.78;688.45;759.78;771.06;793.69
27-01-00 16:00;650.75;685.22;756.11;767.43;790.08
27-01-00 17:00;647.81;682.09;752.49;763.85;786.55
27-01-00 18:00;644.94;678.99;748.94;760.24;783.05
27-01-00 19:00;642.1;675.91;745.43;756.74;779.59
27-01-00 20:00;639.29;672.91;742;753.32;776.21
27-01-00 21:00;636.44;669.91;738.63;749.97;772.9
27-01-00 22:00;633.68;666.93;735.33;746.69;769.66
27-01-00 23:00;630.97;663.98;732.08;743.48;766.49
28-01-00 00:00;628.3;661.06;728.89;740.32;763.38
28-01-00 01:00;625.66;658.18;725.75;737.23;760.35
28-01-00 02:00;623.05;655.34;722.67;734.2;757.38
28-01-00 03:00;620.5;652.54;719.63;731.21;754.46
28-01-00 04:00;617.99;649.83;716.66;728.29;751.61
28-01-00 05:00;615.55;647.22;713.8;725.44;748.81
28-01-00 06:00;613.14;644.62;711.02;722.66;746
28-01-00 07:00;610.79;642.05;708.27;719.9;743.21
28-01-00 08:00;608.48;639.53;705.55;717.2;740.54
28-01-00 09:00;606.23;637.05;702.87;714.56;737.95
28-01-00 10:00;604.02;634.61;700.23;711.97;735.42
28-01-00 11:00;601.85;632.21;697.63;709.44;732.96
28-01-00 12:00;599.72;629.86;695.08;706.96;730.56
28-01-00 13:00;597.63;627.55;692.58;704.54;728.22
28-01-00 14:00;595.58;625.28;690.12;702.16;725.93
28-01-00 15:00;593.57;623.05;687.72;699.84;723.7
28-01-00 16:00;591.6;620.87;685.37;697.58;721.53
28-01-00 17:00;589.66;618.73;683.07;695.37;719.42
28-01-00 18:00;587.76;616.62;680.83;693.22;717.37
28-01-00 19:00;585.89;614.57;678.64;691.12;715.37
28-01-00 20:00;584.05;612.55;676.51;689.09;713.44
28-01-00 21:00;582.25;610.57;674.46;687.13;711.57
28-01-00 22:00;580.48;608.64;672.65;685.27;709.78
28-01-00 23:00;578.73;606.74;670.81;683.53;708.08
29-01-00 00:00;576.96;604.74;668.98;681.83;706.46
29-01-00 01:00;575.19;602.77;667.17;680.16;704.86
29-01-00 02:00;573.45;600.86;665.38;678.52;703.27
29-01-00 03:00;571.74;599;663.66;676.99;701.7
29-01-00 04:00;570.04;597.19;662.02;675.49;700.19
29-01-00 05:00;568.38;595.43;660.42;674.08;698.7
29-01-00 06:00;566.74;593.71;658.88;672.68;697.25
29-01-00 07:00;565.12;592.04;657.4;671.28;695.81
29-01-00 08:00;563.52;590.4;655.99;669.91;694.38
29-01-00 09:00;561.94;588.81;654.66;668.59;692.97
29-01-00 10:00;560.39;587.23;652.52;667.21;691.59
29-01-00 11:00;558.85;585.66;650.27;665.58;690.15
29-01-00 12:00;557.33;584.1;648.24;663.9;688.61
29-01-00 13:00;555.82;582.56;646.3;662.24;687.02
29-01-00 14:00;554.33;581.03;644.21;660.18;685.39
29-01-00 15:00;552.85;579.51;642.06;658.07;683.6
29-01-00 16:00;551.38;577.98;639.98;656.07;681.76
29-01-00 17:00;549.92;576.44;637.89;654.1;679.91
29-01-00 18:00;548.47;574.89;635.94;652.15;678.06
29-01-00 19:00;547.01;573.34;634.06;650.27;676.22
29-01-00 20:00;545.57;571.79;632.23;648.42;674.35
29-01-00 21:00;544.12;570.26;630.44;646.59;672.4
29-01-00 22:00;542.68;568.73;628.67;644.77;670.51
29-01-00 23:00;541.25;567.22;626.92;642.97;668.64
30-01-00 00:00;539.82;565.7;625.19;641.2;666.81
30-01-00 01:00;538.39;564.1;623.48;639.4;664.99
30-01-00 02:00;537.01;562.51;621.78;637.61;663.18
30-01-00 03:00;535.65;560.94;620.09;635.82;661.37
30-01-00 04:00;534.36;559.4;618.41;634.04;659.58
30-01-00 05:00;533.13;557.87;616.75;632.28;657.79
30-01-00 06:00;531.96;556.37;615.1;630.52;655.99
30-01-00 07:00;530.85;554.91;613.47;628.77;654.19
30-01-00 08:00;529.81;553.49;611.86;627.03;652.41
30-01-00 09:00;528.82;552.1;610.28;625.3;650.66
30-01-00 10:00;527.87;550.75;608.73;623.59;648.93
30-01-00 11:00;526.98;549.45;607.21;621.89;647.1
30-01-00 12:00;526.13;548.19;605.71;620.19;645.29
30-01-00 13:00;525.32;546.99;604.23;618.51;643.55
30-01-00 14:00;524.57;545.86;602.79;616.86;641.83
30-01-00 15:00;523.85;544.76;601.38;615.23;640.05
30-01-00 16:00;523.16;543.69;600;613.62;638.34
30-01-00 17:00;522.5;542.65;598.66;612.05;636.69
30-01-00 18:00;521.86;541.64;597.35;610.52;635.07
30-01-00 19:00;521.25;540.66;596.07;609.03;633.5
30-01-00 20:00;520.65;539.71;594.82;607.57;631.96
30-01-00 21:00;520.07;538.8;593.6;606.14;630.36
30-01-00 22:00;519.51;537.91;592.41;604.71;628.71
30-01-00 23:00;518.97;537.04;591.23;603.3;627.1
31-01-00 00:00;518.44;536.2;590.07;601.9;625.53
;2288.7;2289.3;2323.1;2258.9;2248.6
